Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age_of_Car,Power_per_Liter,Mileage_per_Seat
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,0,0,First,20.54,1598.0,103.6,5.0,5.2,12,5.04,4.11
20,BMW 3 Series 320d,Kochi,2014,32982,0,1,First,22.69,1995.0,190.0,5.0,18.55,11,8.37,4.54
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,0,1,First,22.32,1582.0,126.32,5.0,5.25,11,5.66,4.46
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,0,1,First,22.69,1995.0,190.0,5.0,20.75,10,8.37,4.54
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,0,1,First,23.3,1984.0,150.0,5.0,20.0,11,6.44,4.66
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,0,0,First,22.0,1582.0,126.2,5.0,10.95,7,5.74,4.4
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,0,1,First,20.58,1995.0,143.0,5.0,17.22,10,6.95,4.12
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,0,1,First,21.76,1995.0,190.0,5.0,26.5,11,8.73,4.35
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,0,1,First,22.48,1995.0,190.0,5.0,33.5,11,8.45,4.5
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,0,0,First,22.32,1582.0,126.32,5.0,4.6,13,5.66,4.46
211,Hyundai Verna 1.6 SX,Jaipur,2012,117837,0,0,Second,22.32,1582.0,126.32,5.0,4.75,13,5.66,4.46
250,Skoda Rapid Leisure 1.6 TDI MT,Kolkata,2012,55000,0,0,First,20.5,1598.0,103.6,5.0,3.5,13,5.05,4.1
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,0,0,First,22.0,1582.0,126.2,5.0,2.6,17,5.74,4.4
288,Volkswagen Vento Diesel Highline,Hyderabad,2011,69000,0,0,First,20.54,1598.0,103.6,5.0,4.7,14,5.04,4.11
312,Volkswagen Vento Diesel Trendline,Hyderabad,2011,108626,0,0,First,20.54,1598.0,103.6,5.0,3.65,14,5.04,4.11
348,BMW 3 Series Luxury Line,Kochi,2015,30717,0,1,Second,21.76,1995.0,190.0,5.0,25.99,10,8.73,4.35
349,Hyundai Verna 1.6 SX,Bangalore,2012,80000,0,0,First,22.32,1582.0,126.32,5.0,5.25,13,5.66,4.46
398,Audi A3 35 TDI Attraction,Chennai,2014,79271,0,1,First,20.38,1968.0,143.0,5.0,16.5,11,7.02,4.08
413,BMW 3 Series Luxury Line,Mumbai,2015,41000,0,1,First,21.76,1995.0,190.0,5.0,25.5,10,8.73,4.35
458,BMW 3 Series Luxury Line,Bangalore,2016,19235,0,1,First,21.76,1995.0,190.0,5.0,36.5,9,8.73,4.35
487,Hyundai Verna 1.6 SX,Kolkata,2013,37873,0,0,First,22.32,1582.0,126.32,5.0,4.8,12,5.66,4.46
514,Skoda Rapid 1.6 TDI Ambition,Pune,2013,64186,0,0,First,20.5,1598.0,103.5,5.0,3.76,12,5.05,4.1
549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,0,1,First,20.68,1995.0,190.0,5.0,29.4,8,9.19,4.14
572,Hyundai Verna 1.6 SX CRDI (O) AT,Coimbatore,2019,77240,0,1,First,22.32,1582.0,126.32,5.0,8.31,6,5.66,4.46
607,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,72000,0,0,Second,22.32,1582.0,126.32,5.0,5.8,13,5.66,4.46
610,Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,38056,0,0,First,23.9,1582.0,126.2,5.0,10.7,8,5.28,4.78
643,Hyundai Verna 1.6 CRDI,Coimbatore,2016,37882,0,0,First,22.32,1582.0,126.3,5.0,9.19,9,5.66,4.46
678,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,75200,0,0,First,22.32,1582.0,126.32,5.0,5.25,13,5.66,4.46
777,Hyundai Verna 1.6 SX,Bangalore,2012,67000,0,0,First,22.32,1582.0,126.32,5.0,6.25,13,5.66,4.46
