Name,Location,Mileage,Engine,Seats
Hyundai Creta 1.6 CRDi SX Option,Pune,19.67,1582.0,5.0
Honda Jazz V,Chennai,13.0,1199.0,5.0
Maruti Ertiga VDI,Chennai,20.77,1248.0,7.0
Audi A4 New 2.0 TDI Multitronic,Coimbatore,15.2,1968.0,5.0
Nissan Micra Diesel XV,Jaipur,23.08,1461.0,5.0
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,11.36,2755.0,8.0
Volkswagen Vento Diesel Comfortline,Pune,20.54,1598.0,5.0
Tata Indica Vista Quadrajet LS,Chennai,22.3,1248.0,5.0
Maruti Ciaz Zeta,Kochi,21.56,1462.0,5.0
Honda City 1.5 V AT Sunroof,Kolkata,16.8,1497.0,5.0
Maruti Swift VDI BSIV,Jaipur,25.2,1248.0,5.0
Land Rover Range Rover 2.2L Pure,Delhi,12.7,2179.0,5.0
Land Rover Freelander 2 TD4 SE,Pune,0.0,2179.0,5.0
Mitsubishi Pajero Sport 4X4,Delhi,13.5,2477.0,7.0
Honda Amaze S i-Dtech,Kochi,25.8,1498.0,5.0
Maruti Swift DDiS VDI,Jaipur,28.4,1248.0,5.0
Renault Duster 85PS Diesel RxL Plus,Kochi,20.45,1461.0,5.0
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,14.84,2143.0,5.0
BMW 3 Series 320d,Kochi,22.69,1995.0,5.0
Maruti S Cross DDiS 200 Alpha,Bangalore,23.65,1248.0,5.0
Audi A6 2011-2015 35 TFSI Technology,Mumbai,13.53,1984.0,5.0
Hyundai i20 1.2 Magna,Kolkata,18.5,1197.0,5.0
Volkswagen Vento Petrol Highline AT,Kolkata,14.4,1598.0,5.0
Honda City Corporate Edition,Mumbai,16.8,1497.0,5.0
Nissan Micra Diesel XV,Hyderabad,16.48,1461.0,5.0
Maruti Alto K10 2010-2014 VXI,Hyderabad,20.92,998.0,5.0
Honda WRV i-VTEC VX,Kochi,17.5,1199.0,5.0
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,12.8,2494.0,7.0
Renault Duster 110PS Diesel RxZ Pack,Bangalore,19.01,1461.0,5.0
Toyota Corolla Altis G,Delhi,14.53,1798.0,5.0
Mahindra Ssangyong Rexton RX7,Bangalore,11.18,2696.0,7.0
Audi A6 2.7 TDI,Kolkata,12.4,2698.0,5.0
Volkswagen Vento 1.6 Highline,Coimbatore,16.09,1598.0,5.0
Maruti Wagon R LXI BSIII,Jaipur,14.0,1061.0,5.0
Maruti Vitara Brezza ZDi Plus,Kochi,24.3,1248.0,5.0
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,18.15,1198.0,5.0
Mercedes-Benz M-Class ML 350 CDI,Pune,11.74,2987.0,5.0
Volkswagen Polo Diesel Trendline 1.2L,Chennai,22.07,1199.0,5.0
Maruti Alto LXi,Delhi,19.7,796.0,5.0
Tata Nano LX SE,Kochi,25.4,624.0,4.0
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,25.32,1198.0,6.0
Hyundai i20 Magna Optional 1.2,Kochi,18.5,1197.0,5.0
Hyundai Elantra 2.0 SX Option AT,Bangalore,14.62,1999.0,5.0
Toyota Corolla Altis G AT,Mumbai,14.28,1798.0,5.0
Hyundai Elantra CRDi,Ahmedabad,14.9,1991.0,5.0
Toyota Innova Crysta 2.7 GX MT,Bangalore,11.25,2694.0,7.0
Hyundai Xcent 1.1 CRDi S,Jaipur,24.4,1120.0,5.0
Mahindra Thar CRDe AC,Jaipur,16.55,2498.0,6.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,17.11,1968.0,5.0
Maruti Swift LDI,Delhi,22.9,1248.0,5.0
Maruti Swift Ldi BSIV,Kolkata,17.8,1248.0,5.0
Maruti Swift VDI,Delhi,28.4,1248.0,5.0
Hyundai Grand i10 Sportz,Chennai,18.9,1197.0,5.0
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,15.04,1598.0,5.0
Renault KWID RXT,Kochi,25.17,799.0,5.0
Hyundai i10 Asta,Kolkata,20.36,1197.0,5.0
Nissan X-Trail SLX AT,Hyderabad,9.49,1995.0,5.0
Maruti Zen Estilo VXI BSIII,Hyderabad,18.2,998.0,5.0
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,13.68,2393.0,8.0
Ford Figo Diesel Titanium,Bangalore,20.0,1399.0,5.0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,11.74,1796.0,5.0
Mercedes-Benz New C-Class 200 CDI Classic,Pune,15.8,2148.0,5.0
Tata Indica V2 eLS,Chennai,25.0,1396.0,5.0
Audi A4 2.0 TDI Multitronic,Jaipur,16.55,1968.0,5.0
Honda City ZX CVT,Mumbai,16.4,1497.0,5.0
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,0.0,1950.0,5.0
Maruti Ertiga SHVS VDI,Pune,24.52,1248.0,7.0
Hyundai Creta 1.4 E Plus Diesel,Mumbai,22.1,1396.0,5.0
Porsche Cayenne 2009-2014 Turbo,Mumbai,8.5,4806.0,5.0
Mahindra XUV500 W8 4WD,Mumbai,15.1,2179.0,7.0
Hyundai i10 Sportz 1.2 AT,Kochi,16.95,1197.0,5.0
Nissan Terrano XV D Pre,Kochi,19.64,1461.0,5.0
Honda Brio VX AT,Coimbatore,16.5,1198.0,5.0
Audi A6 2.0 TDI Design Edition,Delhi,18.53,1968.0,5.0
Toyota Innova 2.0 G1,Chennai,12.4,1998.0,8.0
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,12.8,2494.0,7.0
Maruti Swift VDI,Jaipur,22.9,1248.0,5.0
Tata Zest Revotron 1.2T XE,Pune,17.57,1193.0,5.0
Honda Amaze SX i-VTEC,Kochi,18.0,1198.0,5.0
Ford Figo Diesel ZXI,Hyderabad,20.0,1399.0,5.0
Maruti Ritz VDi,Jaipur,23.2,1248.0,5.0
Honda City i VTEC E,Delhi,17.8,1497.0,5.0
BMW 5 Series 2003-2012 525d,Delhi,16.73,1995.0,5.0
Hyundai i10 Sportz 1.2,Pune,20.36,1197.0,5.0
Hyundai Grand i10 Sportz,Bangalore,18.9,1197.0,5.0
Honda Amaze SX i-VTEC,Mumbai,17.8,1198.0,5.0
Toyota Fortuner 4x2 Manual,Delhi,13.0,2982.0,7.0
Audi A6 2011-2015 35 TDI Premium,Coimbatore,17.68,1968.0,5.0
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,22.7,1498.0,5.0
Mahindra XUV500 W8 2WD,Delhi,15.1,2179.0,7.0
Honda Amaze SX i-DTEC,Kolkata,25.8,1498.0,5.0
Volkswagen Polo Diesel Highline 1.2L,Kolkata,22.07,1199.0,5.0
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,16.2,1493.0,5.0
Maruti Wagon R VXI BS IV,Bangalore,18.9,998.0,5.0
Volkswagen Polo Petrol Highline 1.6L,Delhi,15.26,1598.0,5.0
Hyundai i20 1.4 CRDi Sportz,Pune,23.0,1396.0,5.0
Hyundai i20 Asta 1.2,Mumbai,18.5,1197.0,5.0
Datsun GO Plus T Petrol,Pune,19.83,1198.0,7.0
Audi A4 3.0 TDI Quattro Premium,Kolkata,14.94,2967.0,5.0
Hyundai i20 2015-2017 Asta,Pune,17.0,1197.0,5.0
Maruti Omni 5 Str STD,Coimbatore,14.0,796.0,5.0
Toyota Etios Liva 1.2 G,Ahmedabad,17.71,1197.0,5.0
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,14.74,2993.0,5.0
Mahindra XUV500 W8 2WD,Delhi,16.0,2179.0,7.0
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,22.32,1582.0,5.0
Toyota Innova Crysta 2.8 ZX AT,Mumbai,11.36,2755.0,7.0
Maruti Eeco 5 Seater AC,Coimbatore,15.1,1196.0,5.0
Tata Nano Twist XT,Bangalore,25.4,624.0,4.0
BMW 3 Series 320d Luxury Line,Mumbai,22.69,1995.0,5.0
Honda Civic 2006-2010 1.8 V MT,Delhi,13.5,1799.0,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,12.99,2494.0,7.0
Volvo V40 Cross Country D3,Bangalore,23.3,1984.0,5.0
Nissan Micra XV CVT,Coimbatore,19.15,1198.0,5.0
BMW 5 Series 2010-2013 525i,Mumbai,10.8,2497.0,5.0
Maruti Vitara Brezza VDi,Mumbai,24.3,1248.0,5.0
Mercedes-Benz B Class B200 CDI,Pune,15.0,2143.0,5.0
Hyundai Verna CRDi 1.6 SX Option,Kolkata,22.0,1582.0,5.0
Maruti Wagon R LXI BS IV,Pune,18.9,998.0,5.0
Tata Nano XTA,Coimbatore,21.9,624.0,4.0
Mahindra Scorpio VLX,Kolkata,12.05,2179.0,8.0
Mercedes-Benz New C-Class 200 K AT,Kolkata,11.7,1796.0,5.0
Honda CR-V 2.4 MT,Bangalore,10.8,2354.0,5.0
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,21.21,1498.0,5.0
Maruti Ciaz VXi Plus,Kochi,20.73,1373.0,5.0
Mahindra XUV500 AT W10 FWD,Jaipur,16.0,2179.0,7.0
Maruti Ritz VXI ABS,Coimbatore,21.1,1197.0,5.0
Maruti Alto K10 VXI,Hyderabad,24.07,998.0,5.0
Mercedes-Benz SLC 43 AMG,Kolkata,19.0,2996.0,2.0
